"Pertanyaan","Jawaban Benar","Jawaban Salah 1","Jawaban Salah 2","Jawaban Salah 3","Jawaban Salah 4"
"Manakah pernyataan yang paling benar:","Concurrency control bertujuan menjaga konsistensi data yang diakses secara simulatan","Concurrency control mengatur hak akses dari pengguna database","Lost Update Problem terjadi saat suatu transaksi membaca data dari transaksi lain yang belum di-commit","Uncommited Dependency Problem adalah masalah terjadi saat satu transaksi membaca beberapa nilai tetapi transaksi kedua pada waktu yang sama memodifikasi nilai tersebut","Uncommited Dependency Problem adalah masalah operasi update yang sukses dari seorang
pengguna kemudian diikuti oleh operasi update dari pengguna lain."
"Dalam melakukan pengujian, setiap transaksi yang dilakukan database harus mematuhi empat poin yaitu :","Atomicity, Consistency, Isolation, Durability","Create, Retrieve, Update, Delete","Atomicity, Consistency, Update, Delete","Create, Retrieve, Isolation, Durability","Create, Atomicity, Isolation, Durability"
"Dalam memvalidasi transaksi pada layanan akses data, jika salah satu bagian dari transaksi gagal maka dapat disimpulkan bahwa transaksi tersebut gagal adalah poin validasi:","Atomicity","Consistency","Isolation","Durability","CRUD"
"Dari pengujian rancangan akses data  menunjukan suatu transaksi mengeluarkan hasil yang valid adalah poin validasi:","Consistency","Atomicity","Isolation","Durability","Complexity"
"Setelah transaksi selesai dilakukan, tidak ada faktor eksternal seperti kehilangan daya atau crash yang dapat mengubah hasil transaksi adalah poin valiadasi","Durability","Atomicity","Consistency","Complexity","Isolation"
"Pada Lock-based Protocols, Jika terdapat suatu transaksi yang merubah suatu nilai dan terdapat transaksi lain yang read/write tetapi menunggu transaksi sebelumnya selesai adalah salah satu metode locking yaitu","Exclusive Locking","Shared Locking","Simplistic Lock Protocol","Deadlock","Pre-claiming Locking"
"suatu kondisi dimana dua proses atau lebih saling menunggu proses yang lain untuk melepaskan resource yang sedang dipakai. Karena beberapa proses itu saling menunggu, maka tidak terjadi kemajuan dalam kerja proses-proses tersebut","Deadlock","Exclusive Locking","Shared Locking","Simplistic Lock Protocol","Pre-claiming Locking"
"GRANT SELECT, UPDATE (salary) ON Staff TO Director; Pada query tersebut ini bertujuan untuk memberikan hak akses:","Director untuk melakukan SELECT dan UPDATE kolom salary pada table Staff","Staff untuk melakukan SELECT dan UPDATE table salary pada kolom Director","Staff untuk melakukan SELECT dan UDPATE kolom salary pada table Director","Staff untuk melakukan SELECT dan UPDATE table salary untuk Primary Key dan Director","Director dan Personnel untuk melakukan SELECT dan UPDATE kolom Director pada table salary"
"REVOKE SELECT ON Rent FROM PUBLIC;
Pada query di atas ini mencabut hak akses :
","Public melakukan SELECT pada table Rent","Public melakukan SELECT pada kolom Rent","User melakukan SELECT pada table PUBLIC","Public melakukan selain SELECT pada kolom Rent","User melakukan SELECT pada kolom PUBLIC"
"REVOKE ALL PRIVILEGES ON Staff FROM Director;
Pada query tersebut bertujuan untuk:
","Mencabut hak akses semua previllage kepada Director pada table Staff","Memberikan hak akses semua previllage kepada Director pada table Staff","Mencabut hak akses semua previllage kepada Staff pada table Director","Memberikan hak akases semua previllage kepada Director pada data dengan Primary Key Staff","Mencabut hak akses semua previllage kepada Director pada data dengan Primary Key Staff"
"Jika kita ingin memberikan hak akses kepada Supervisor untuk SELECT, UPDATE, DELETE table Transaction pada Kolom Approval. Maka perintah yang dibuat adalah ","GRANT SELECT, UPDATE, DELETE (Approval) ON Transaction TO Supervisor;","GRANT SELECT, UPDATE, DELETE (Transaction) ON Approval TO Supervisor;","GRANT SELECT, UPDATE, DELETE (Supervisor) ON Approval TO Transaction;","GRANT SELECT, UPDATE, DELETE (Supervisor) ON Transaction TO Approval;","GRANT SELECT, UPDATE, DELETE (Approval) ON Approval TO Transaction;"
"GRANT SELECT, UPDATE, DELETE ON Branch TO PUBLIC; Pada query tersebut memberikan hak akses:
","Memberikan hak akses kepada semua pengguna melakukan SELECT, DELETE, UPDATE pada table Branch","Memberikan hak akses kepada semua pengguna pada table Branch","Memberikan hak akses kepada Branch melakukan SELECT, DELETE, UPDATE pada table PUBLIC","Memberikan hak akses kepada Branch pada table PUBLIC","Memberikan hak akses kepada PUBLIC selain SELECT, DELETE, UPDATE pada table Branch"
"Jika kita ingin mencabut hak akses Staff dan Supervisor untuk melakukan UPDATE, DELETE, dan INSERT pada table Attandance. Maka perintah yang dibuat adalah ","REVOKE UPDATE, DELETE, INSERT ON Attandance TO Staff, Supervisor;","REVOKE UPDATE, DELETE, INSERT (Attandance) ON Attandace TO Staff, Supervisor;","REVOKE UPDATE, DELETE ON Attandance TO Staff, Supervisor;","REVOKE UPDATE, DELETE, INSERT ON Staff, Supervisor TO Attandance;","REVOKE UPDate, DELETE, INSERT (Staff, Supervisor) ON Attandance TO Employee"
"Jika kita inging memberikan hak akses penuh kepada Manager pada table Employee maka perintah yang dibuat adalah","GRANT ALL PREVILAGE ON Employee TO Manager;","GRANT SELECT, UPDATE, DELETE, INSERT ON Employee TO Manager;","GRANT SELECT, UPDATE, DELETE (Manager) ON Employee TO Supervisor;","GRANT ALL PREVILAGE ON Manager TO Employee;","GRANT SELECT, UPDATE, DELETE, INSERT ON Manager TO Employee;"
"Beberapa masalah umum yang dihadapi dalam kinerja database dapat dikelompokan menjadi …","saturation, slowness, corruption","saturation, slowness, degradation","saturation, underperformance, corruption","degradation, slowness, corruption","saturation, degradation, underperformance"
"Dalam mengetahui kinerja database, terdapat beberapa metrik yang dapat digunakan sebagai berikut, kecuali …","struktur kueri","wait states","signal waits","pemanfaatan CPU/CPU usage","troughput transaksi"
"Agar suatu proses performance dan tuning dapat sukses dijalankan, berikut langkah-langkah yang dapat dijalankan, kecuali …","Menjalankan rencana retensi data secara rutin","Mengelompokan isu pada database","Berfokus pada metrik yang saling berhubungan","Mengukur hasil dari waktu ke waktu","Menjalankan maintanance database secara rutin"
"Metrik yang menunjukan waktu yang dibutuhkan database untuk mengeksekusi query disebut …","wait states","response time","troughput transaksi","signal waits","CPU usage"
"Metrik yang penting diperhatikan terutama untuk mendukung database di cloud adalah …","bandwidth dan usage jaringan","latency disk I/O","signal waits","response time","CPU usage"
"Selain untuk mempertahankan kinerja manajemen database saat workload terus meningkat, beberapa alasan database administrator harus melakukan performance tuning adalah sebagai berikut, kecuali ..","over-performing queries","performance degradation","capacity planning","scalability analysis","under-utilized hardware"
"Mengukur tolok ukur troughput maksimum yang dicapai oleh database merupakan salah satu alasan dilakukanya performance testing, merupakan pengertian dari …","capacity planning","scalabilty analysis","scalability planning","query tuning","I/O tuning"
"Kepanjangan dari RPO adalah ...","Recovery Point Objective","Recovery Plan Objective","Recovery Performance Objective","Response Plan Objective","Response Plan Output"
"Manakah variabel sistem yang dapat memberitahu optimizer untuk melewati plan tertentu berdasarkan perkiraan jumlah baris yang diakses untuk setiap tabel?","optimizer_prune_level","optimizer_search_depth","optimizer_search","optimizer_prune","optimizer_prune_depth"
"Indikator status mana yang menilai seberapa efektif cache tabel?","opened_tables","open_tables","opens_tables","close_tables","closed_tables"
"Mengakses data dari manakah yang lebih cepat? Apakah memori atau disk?","memori","disk","kecepatanya sama","tergantung mesin","tergantung data"
"Untuk menjaga kinerja tabel yang memiliki panjang baris variabel, pernyataan mana yang digunakan?","OPTIMIZE TABLE","BALANCE TABLE","ADJUST TABLE","MINIMIZE  TABLE","MAINTAIN TABLE"
"Untuk meminimalkan I / O disk, mana yang harus dipilih? CHAR, VARCHAR","VARCHAR","CHAR","CHAR & VARCHAR","keduanya sama saja","tidak dapat ditentukan"
"Manakah dari berikut ini yang membutuhkan lebih banyak ruang? Variable length columns, Fixed length columns","fixed length","variable length","fixed length & variable length","sama","tidak dapat ditentukan"
"Mana yang lebih efisien?
LOAD DATA, INSERT","LOAD DATA","INSERT","LOAD DATA & INSERT","sama sama efisien","tidak dapat ditentukan"
"Beberapa solusi yang dapat dipilih untuk mengatasi masalah performance database, berikut solusi yang membutuhkan cost dan masalah yang sama cepat atau lambat dapat muncul kembali, kecuali ..","performance dan tuning","mengupgrade prosesor","menambahkan memori","membeli tambahan volume disk","membeli tambahan cache"
"Kebijakan mengontrol cara menyimpan data untuk alasan kepatuhan atau peraturan, serta cara membuang data setelah tidak lagi diperlukan disebut …","data retention policy","backup data policy","data storage policy","backup data plan","data deletion policy"
