"Pertanyaan","Jawaban Benar","Jawaban Salah 1","Jawaban Salah 2","Jawaban Salah 3","Jawaban Salah 4"
"Database Integrity dapat dievaluasi dengan menguji berbagai jenis integrity diantaranya","Domain Integrity, Entity Integrity, Referential Integrity","Domain Integrity, Referential Integrity, Functional Integrity","Entity Integrity, Functional Integrity, Domain Integrity","Referential Integrity, Functional Integrity, Domain Integrity",""
"Berikut yang tidak termasuk karakteristik dari arsitektur data modern adalah …","stateful","Cloud-native","seamless data integration","Real-time data enablement","scalable"
"Berikut adalah tools yang digunakan dalam penyusunan arsitektur data, kecuali …","metadata tracking tools","data modelling tools","asset management softwares","graphical design applications","model repositories"
"Manakah dari berikut ini merupakan metric yang digunakan untuk mengukur performance data arsitektur?","Architecture standard compliance rate","DMMA ratings","return on investment","Subject Area Coverage Percentages","Aggregated transaction statistics"
"Manakah yang bukan merupakan domain dari data architecture?","Enterprise Inventory Architecture","Enterprise Business Architecture","Enterprise Data Architecture","Enterprise Applications Architecture","Enterprise Technology
Architecture"
"Apakah yang dimaksud dengan ‘how’ pada Zachmann Framework yang digunakan dalam merancang arsitektur data?","aktivitas yang dilakukan","entitas yang digunakan","lokasi bisnis dan teknologi","goals dan strategi","jadwal, siklus, dan interval"
"Hal-hal berikut adalah potensi resiko yang dapat terjadi dalam implementasi arsitektur data, kecuali …","lemahnya keamanan sistem","Kurangnya dukungan manajemen","culture shock","adanya dominasi (one-dimensional view)","pemimpin proyek yang kurang berpengalaman"
"Sebuah enterprise data model (EDM) akan mencakup hal-hal berikut, kecuali …","storage requirements","key enterprise data entities","relationships between entities","critical guiding business rules","critical attributes"
"Manakah yang bukan merupakan level representasi dari enterprise data model (EDM)?","conceptual attribute model","subject area model","conceptual data model","conceptual entity model","business process – entity mapping"
"Output yang dapat dihasilkan dari perancangan data model instansi level pertama adalah ...","Enterprise Subject Area Model (ESAM)","Enterprise Data Object Model (EDOM)","Enterprise Conceptual Model (ECM)","Enterprise Conceptual Entity Model (ECEM)","Enterprise Subject Area Relation Diagram (ESARD)"
"Enterprise Conceptual Entity Model (ECEM) terdiri atas komponen berikut, kecuali …","subject areas","Entity Concepts","Primary Keys and Significant Attributes","Relationships","Name and definition"
"Berikut ini yang merupakan urutan hirarki EDM yang benar adalah …","subject area model – conceptual data model – enterprise logical data model","conceptual data model – enterprise logical data model - subject area model","conceptual data model – subject area model – enterprise logical data model","subject area model – enterprise logical data model - conceptual data model","enterprise logical data model – subject area model – conceptual data model"
"Pembangungan model data instansi (enterprise data model) dapat dilakukan melalui dua pendekatan, yakni …","Top-down dan bottom-up","integrated dan distributed","centralized dan decentralized","All-at-once dan gradually","waterfall dan agile"
"Berikut ini adalah tools yang dapat digunakan untuk membuat enterprise data model (EDM), kecuali …","ER Mapper Professional","PowerDesigner","ER/Studio","Oracle SQL Developer Data Modeler","IBM - InfoSphere Data Architect"
"Manakah dari komponen berikut yang tidak tercakup di dalam EDM?","data flow","entitas","atribut","relasi antar entitas","critical business rules"
"Analisis model data instansi melibatkan serangkaian kegiatan-kegiatan berikut, kecuali ...","Identifikasi perangkat TI","Menelaah tujuan bisnis suatu organisasi","Menelaah data yang dihasilkan dan digunakan oleh organisasi","Mengidentifikasi dan menganalisis aturan-aturan pada data yang
dihasilkan dan digunakan","Mereviu model data instansi sebelumnya (jika sudah ada)
terhadap kebutuhan saat ini"
"Berikut ini yang bukan merupakan dokumen hasil analisis model data instansi adalah …","Standard Operating Procedure (SOP)","Hasil telaah tujuan bisnis suatu organisasi","Hasil telaah data yang dihasilkan dan digunakan oleh organisasi","Hasil identifikasi dan analisis aturan-aturan pada data yang
dihasilkan dan digunakan","Hasil review model data instansi sebelumnya (jika sudah ada)
terhadap kebutuhan saat ini."
"Model data instansi yang baik memiliki karakteristik berikut, kecuali …","complexity","accuracy","clarity","conciseness","consistency"
"Seorang pranata komputer yang sedang menganalisis suatu model data instansi ingin mengidentifikasi hubungan serta overlaps yang terjadi antar konsep pada subject areas. Untuk melaksanakan ini, si pranata komputer memerlukan alat bantu berupa dokumen …","enterprise conceptual model (ECM)","Enterprise Subject Area Model (ESAM)","Enterprise Data Object Model (EDOM)","Enterprise Conceptual Entity Model (ECEM)","Enterprise Subject Area Relation Diagram (ESARD)"
